word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
IU,20234,39.0,0.0,0.0,39.0,78.0
CAME,437,31.2,70.0,74.0,144.2,93.8
TO,515,15.5,54.5,54.5,93.5,78.0
UB,437,8.0,39.0,39.0,86.0,94.0
FOR,390,15.7,52.0,52.0,99.0,68.0
ITS,483,62.7,114.7,119.7,171.7,83.0
HIGH,499,78.0,70.0,82.0,74.0,58.5
REPUTATION,1420,124.8,160.7,163.7,209.0,76.5
IN,188,8.0,47.0,39.0,94.0,102.0
COMPUTER,1513,109.1,167.8,161.9,243.8,91.6
SCIENCE,1560,251.6,247.3,255.9,251.6,51.4
AREA,749,132.5,136.5,124.8,128.8,58.2
ALSO,1638,162.9,196.1,196.1,234.0,49.0
AS,312,31.5,86.0,86.0,140.5,109.0
STUDENT,671,35.6,82.4,80.3,127.1,58.0
BORN,406,15.5,62.5,62.5,117.0,70.0
IN,655,8.0,47.0,47.0,86.0,78.0
ORTH,1404,47.0,70.0,74.0,120.5,66.0
PART,327,19.5,35.0,27.2,73.8,62.0
OF,203,15.5,54.5,54.5,93.5,78.0
CHINA,639,34.2,74.8,71.8,137.2,81.0
WHICH,920,121.8,131.2,143.6,153.0,62.6
THE,3105,0.0,19.5,19.5,39.0,39.0
WEATHER,874,182.9,207.3,203.0,227.4,62.4
OF,171,0,0,0,0,31.0
WHICH,390,106.2,124.8,118.8,137.4,59.4
IS,141,0,0,0,0,39.0
QUITE,359,15.6,46.8,43.6,106.0,81.0
SIMILAR,640,57.9,82.6,80.0,118.1,62.4
TO,234,0.0,39.0,39.0,78.0,78.0
BUFFALO,3323,60.1,95.9,100.3,154.0,67.1
I,234,0,0,0,0,78.0
LIKE,452,38.8,58.5,66.2,109.0,73.8
THE,266,5.3,31.3,31.3,57.3,52.0
WEATHER,1186,179.4,206.6,200.9,228.1,68.1
HERE,2012,58.0,60.1,53.6,64.6,40.1
WHICH,375,99.8,109.0,121.8,131.0,68.8
IS,93,0,0,0,0,39.0
NOT,265,26.0,52.0,52.0,78.0,52.0
THAT,281,19.5,39.0,39.0,58.5,39.0
HOT,344,31.3,57.3,62.7,109.3,72.7
I,203,0,0,0,0,94.0
AM,265,8.0,31.0,46.5,85.5,93.5
SATISFIED,1404,213.3,227.2,227.2,244.4,62.2
WITH,2106,214.5,241.9,241.9,269.2,37.1
Y,219,0,0,0,0,78.0
DECISION,4634,145.8,183.8,173.3,211.3,57.1
THE,390,0.0,26.0,26.0,52.0,52.0
MOST,390,23.2,66.5,58.5,109.2,74.0
IMPORTANT,2418,152.4,170.3,169.2,204.1,42.1
QUIALITY,656,64.5,95.6,101.6,136.8,70.4
OF,172,0,0,0,0,47.0
THE,3588,36.3,88.3,83.0,135.0,72.7
UNIVERSITY,1124,154.6,191.9,195.1,245.0,73.3
SHOULD,593,44.0,85.8,80.7,158.5,90.8
BE,249,0,0,0,0,39.0
GO,2153,7.8,15.8,11.8,35.2,43.0
IN,1014,23.0,62.0,54.5,93.5,70.5
FACULTY,2184,87.1,136.0,142.6,204.9,77.9
QUALITY,3386,333.5,382.2,382.2,435.0,62.5
AD,281,0,0,0,0,47.0
ND,780,16.0,55.0,55.0,94.0,78.0
RESEARCH,2683,113.1,115.0,120.8,126.6,64.4
QUALITY,3401,31.1,73.6,82.4,156.0,91.4
ALSO,1139,19.8,82.0,82.0,144.2,81.8
A,561,0,0,0,0,39.0
GOOD,405,31.2,54.8,54.5,78.0,46.8
TEACHING,2012,52.8,117.0,117.0,189.0,79.8
ENVIRONMENT,1701,184.4,221.4,214.1,251.1,55.4
IS,156,0,0,0,0,39.0
IMPORTANT,1606,147.2,185.4,195.7,233.9,71.1
TOO,390,41.7,62.3,67.7,88.3,46.7
I,234,0,0,0,0,94.0
WILL,780,62.5,93.5,93.5,132.5,58.5
