word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
UB,3557,613.7,676.0,650.0,712.3,98.7
HAS,577,46.7,99.0,72.7,177.0,140.7
A,172,0,0,0,0,156.0
HIGH,1170,242.0,238.0,249.8,245.8,82.0
H,2527,0,0,0,0,26.0
REPUATION,3432,177.2,266.6,269.5,367.3,112.0
AND,4883,62.0,150.7,145.7,234.3,135.7
I,312,0,0,0,0,125.0
ALSO,765,19.8,78.0,89.8,179.5,121.0
KNOW,1857,195.0,252.2,244.5,301.7,72.8
ATHAT,4134,1.5,22.7,19.8,44.0,32.6
THE,437,15.3,73.0,67.7,156.0,135.0
UB,4415,383.8,424.4,402.4,443.0,59.2
TUITIO,6614,466.0,489.4,475.9,499.2,66.4
IS,374,23.5,117.0,85.5,179.0,155.5
LOWER,1451,118.8,218.4,218.4,336.8,143.4
TTHE,13088,15.6,26.7,22.3,64.6,62.3
TEACHING,4025,333.8,385.3,386.9,463.4,92.1
QUALITY,1762,102.4,167.0,169.3,269.6,115.9
IN,328,8.0,70.5,70.5,133.0,125.0
UB,546,15.5,93.5,78.0,156.0,140.5
IS,219,0,0,0,0,47.0
GOOD,624,43.0,113.2,105.5,175.8,101.5
PROFESSORE,5523,860.7,849.0,846.3,834.7,58.6
S,2543,0,0,0,0,156.0
IN,2075,3.2,28.2,28.0,53.0,49.8
UB,562,39.0,117.0,93.5,171.5,132.5
AR,1404,7.8,19.5,31.2,58.5,66.2
VERY,4118,22.1,69.0,66.9,136.0,82.6
PROFESSIONAL,5367,383.2,430.0,429.0,485.6,81.9
AND,1154,10.3,88.3,88.3,187.0,150.7
THEY,1279,39.2,78.0,97.5,191.2,136.8
CAN,1326,208.0,286.0,296.7,384.7,129.7
ARE,39452,6.7,33.4,31.1,71.3,60.1
ABLE,14352,49.0,84.7,87.0,145.0,80.3
TO,250,39.0,15.5,39.0,93.5,132.5
HHELP,10889,143.0,176.8,172.8,206.7,41.6
WITH,780,54.5,78.0,89.8,183.2,128.5
THE,328,41.7,47.0,62.3,151.0,151.0
STUDENTS,5866,747.5,743.6,734.5,741.1,53.4
WHEN,671,27.2,93.5,101.5,198.8,132.5
THEY,546,31.2,66.5,74.0,163.8,124.8
ARE,421,20.7,83.0,83.3,166.3,130.0
IN,234,0,0,0,0,70.0
TROUBLES,3058,169.8,278.9,277.0,397.9,136.5
IN,452,0.0,47.0,70.0,117.0,117.0
MY,437,70.0,125.0,124.5,179.5,109.5
EXPERIENCE,6490,615.5,662.3,663.7,710.5,83.7
THE,608,25.7,73.0,67.7,166.3,145.3
