word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
WHEN,7005,47.0,113.0,128.8,194.8,105.0
I,312,0,0,0,0,141.0
FINISH,905,119.7,161.2,166.5,218.7,127.7
MY,421,62.5,109.0,109.5,156.0,93.5
BACHELAR,2278,472.0,540.2,514.8,587.0,117.0
DSTUDY,7816,225.1,278.6,285.1,343.1,80.3
HOPT,1404,186.8,237.2,249.6,318.4,100.0
E,1763,0,0,0,0,94.0
CAN,499,20.7,57.0,88.3,166.0,140.0
LEARN,764,43.8,112.4,115.4,252.8,165.4
MORE,1357,179.5,241.8,265.2,351.0,136.5
BEFORE,1170,220.8,262.7,260.0,301.8,106.8
GO,234,0,0,0,0,62.5
TYO,250,36.3,15.7,5.3,26.0,62.3
O,858,0,0,0,0,109.0
WORK,2122,231.3,278.3,288.7,340.7,78.0
I,390,0,0,0,0,109.0
KNOW,905,12.0,109.2,124.8,246.0,168.0
UB,500,62.5,117.0,101.5,156.0,93.5
IS,265,0,0,0,0,47.0
WOULD,1732,37.4,93.6,90.4,190.2,118.4
BE,281,23.5,70.0,70.5,117.0,93.5
ONE,422,5.0,67.7,83.3,156.0,124.7
OF,249,0,0,0,0,62.5
THE,343,10.7,73.0,67.7,130.0,93.3
BEST,562,27.2,105.5,101.5,226.2,152.0
CHOICE,3308,686.5,694.1,707.9,743.0,107.2
BECAUSE,6287,840.4,865.9,873.5,918.5,111.2
IT,296,8.0,62.5,62.5,117.0,109.0
HAS,1108,20.7,93.7,83.3,197.7,156.0
STRONG,4712,436.7,488.8,495.8,558.1,78.0
STRONG,25725,33.0,85.0,90.1,149.0,74.4
DEPARTMENT,1747,360.4,385.4,396.2,430.6,93.6
OF,3214,7.8,35.2,31.0,58.5,50.8
COMPUTER,1950,89.4,171.5,173.6,298.5,142.5
SCIENCE,5491,548.1,561.6,539.1,552.6,91.1
I,359,0,0,0,0,110.0
BELIEVE,999,225.0,240.7,256.3,285.4,98.1
RESEARCH,1669,148.1,114.9,173.5,202.8,150.0
OR,328,23.5,78.0,86.0,140.5,117.0
STUDY,2216,220.7,267.4,278.6,338.7,82.4
IN,1700,15.5,39.0,78.0,132.5,148.0
FILE,577,39.0,86.0,97.5,199.0,136.5
IELD,3244,13.0,44.2,46.7,83.2,54.7
