word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
UB,1295,8.0,31.0,70.0,109.0,117.0
IS,390,31.5,62.5,93.5,124.5,93.0
A,94,0,0,0,0,78.0
WORLD,1076,81.2,159.2,162.2,240.2,99.8
CLASS,905,96.6,156.0,156.0,215.4,75.0
UNIVERSITY,2855,351.0,408.8,402.6,460.4,79.7
IT,795,70.0,101.5,140.5,172.0,102.0
IS,296,23.5,62.5,78.0,117.0,93.5
ALSO,733,23.5,93.5,97.5,167.5,97.2
MOST,1123,132.5,202.8,206.8,277.0,97.5
BUDGET,1591,143.0,215.8,226.2,299.0,93.5
FRIENDLY,1731,112.9,189.1,187.1,263.4,84.0
THE,1186,109.0,166.3,166.3,223.7,83.3
OVERALL,1513,120.4,180.6,185.0,245.1,75.7
PACKAGE,2059,478.0,517.0,520.8,559.8,76.0
WAS,608,98.7,140.7,150.7,192.7,73.0
IRRESTIBLE,2636,494.5,514.7,513.2,533.4,68.7
ISI,2980,884.0,858.0,847.3,821.3,62.7
AM,297,0.0,39.0,47.0,86.0,86.0
GLAD,1123,167.5,245.8,241.8,320.0,97.8
I,530,0,0,0,0,125.0
MADE,640,82.2,124.8,128.8,187.2,82.0
IT,250,23.5,62.5,70.5,109.5,86.0
HERE,3385,148.2,152.2,144.2,148.2,39.2
MOST,1139,82.0,160.0,163.8,241.8,105.2
IMPORTANT,2309,251.3,285.9,308.7,377.9,126.6
QUALITIES,3026,284.4,339.9,338.0,397.0,86.7
IN,312,39.0,23.5,39.0,101.5,140.5
A,124,0,0,0,0,109.0
UNIVERSITY,2106,315.1,371.3,366.6,422.8,82.7
ARE,484,52.3,109.3,114.7,171.7,88.3
THE,499,57.3,130.0,130.0,202.7,98.7
RESEARCH,2184,255.5,271.0,269.1,284.6,60.2
CONDUCTED,2044,461.1,457.8,485.4,499.4,92.0
AND,390,21.0,83.3,83.3,145.7,88.3
THE,390,36.7,93.7,99.0,156.0,83.0
ACUMEN,1248,93.3,174.2,174.2,255.0,93.8
AND,374,31.3,78.0,93.7,140.3,77.7
REPUTATION,2776,227.9,283.9,279.2,350.8,95.0
OF,312,23.5,62.5,78.0,117.0,93.5
THE,421,41.7,104.0,99.0,161.3,88.3
PROFESSORS,3135,478.9,475.7,485.1,481.9,48.3
I,764,0,0,0,0,156.0
WOULD,1045,109.0,174.8,181.0,259.2,100.0
DEFINITELY,2356,442.9,469.6,478.8,505.5,70.3
RECOMMEND,3526,786.9,825.1,835.3,873.6,74.4
UB,1076,125.0,179.5,187.5,242.0,117.0
TO,515,39.0,93.5,86.0,140.5,101.5
EVERYONE,6645,325.8,357.0,366.5,397.8,72.0
THE,748,88.3,150.7,156.0,218.3,93.7
UNIVERSITY,2215,330.7,386.8,387.0,443.1,84.2
REPUTATION,2356,177.9,229.4,240.2,304.1,98.2
IS,312,8.0,54.5,54.5,101.0,93.0
GREAT,1498,156.0,224.6,227.8,296.4,90.4
AND,421,26.3,88.7,98.7,161.0,93.3
ALSO,561,15.5,78.0,74.0,136.5,82.0
THE,406,41.7,93.7,93.7,145.7,78.0
QUALITY,2918,241.1,296.4,298.2,353.6,65.8
OF,297,0.0,39.0,55.0,94.0,94.0
THE,421,41.7,104.0,104.0,166.3,88.3
COURSEWORK,2121,583.5,611.6,603.8,631.9,65.5
IS,390,31.0,85.5,86.0,140.5,109.5
GOOD,874,74.2,117.0,113.2,156.0,62.2
I,812,0,0,0,0,125.0
PREFER,1280,262.7,244.3,252.3,234.0,62.7
TO,312,8.0,39.0,31.0,78.0,86.0
GO,406,31.5,78.0,70.5,117.0,85.5
OUTDOORS,2636,261.2,290.6,292.4,321.8,66.2
EXPLORE,2262,240.6,278.6,280.7,318.7,82.4
AROUND,2246,122.2,197.7,202.8,278.3,93.7
I,452,0,0,0,0,125.0
LIKE,718,78.2,148.0,152.2,222.0,97.2
TO,390,8.0,62.5,55.0,109.5,101.5
GO,421,8.0,62.5,62.5,117.0,109.0
TREKKING,3369,107.2,177.4,177.4,247.5,79.9
I,593,0,0,0,0,124.0
AM,280,8.0,31.0,46.5,85.5,93.5
ALSO,655,35.0,105.2,105.2,175.5,93.8
INTO,671,54.2,78.0,105.5,191.2,140.5
SPORTS,1732,202.7,226.0,236.7,260.0,73.0
BADMINTON,1825,173.6,227.0,232.3,285.8,88.2
BEING,983,84.4,162.2,168.6,246.4,102.8
MY,718,179.5,226.5,218.5,265.5,86.0
FAVOURITE,3604,208.0,299.9,294.7,386.6,98.8
CHOICE,1451,233.8,260.0,262.8,320.0,119.5
I,1154,0,0,0,0,124.0
ENSURE,1139,213.3,241.8,244.5,273.0,72.8
I,530,0,0,0,0,125.0
TAKE,843,124.8,187.2,187.2,249.8,82.0
OUT,483,52.0,114.3,119.7,182.0,98.7
TIME,593,43.0,117.0,117.0,191.0,97.5
FOR,421,36.7,104.0,93.7,161.0,93.3
ALL,499,52.0,83.3,83.0,114.3,62.3
THE,406,52.0,104.0,98.7,150.7,72.7
STATED,905,125.0,151.0,156.2,182.2,70.2
ACTIVITIES,2059,254.2,288.6,280.8,315.2,54.6
HERE,826,167.8,179.8,171.2,183.2,74.0
BALANCING,1747,277.3,308.6,299.9,331.1,86.8
THE,483,57.0,119.7,114.3,177.0,88.7
COURSEWORK,3510,650.9,677.9,667.8,694.8,61.1
THERE,2964,423.8,442.0,444.7,462.8,62.5
IS,312,0.0,47.0,62.0,109.0,109.0
A,94,0,0,0,0,62.0
HEALTHY,1685,309.7,352.1,343.1,385.6,75.7
AFFLICTION,2278,260.7,315.1,304.3,358.7,81.0
FOR,483,52.3,109.3,114.3,171.3,88.0
SPORTS,1264,195.0,221.0,226.2,252.2,77.8
IN,327,31.0,15.5,62.5,109.0,140.0
BUFFALO,1888,135.9,196.1,198.3,258.6,71.4
I,608,0,0,0,0,156.0
WOULD,858,84.4,134.0,137.2,212.0,93.6
SAY,1014,182.0,255.0,249.7,322.7,99.0
ENCOURAGE,1872,284.2,332.9,338.0,386.7,81.6
STUDENTS,1935,195.0,204.8,204.8,214.5,66.5
BY,453,62.5,101.5,101.5,140.5,78.0
PROMOTING,1685,176.8,220.0,230.7,273.9,79.9
SCOIAL,1466,122.0,205.3,202.7,286.0,96.3
SCTIVITIES,1966,352.6,365.1,357.3,369.8,51.5
AACTIVELY,14648,176.9,246.1,246.1,318.9,81.4
THE,3588,1014.0,1076.3,1081.7,1144.0,93.7
IMAGE,826,74.8,134.2,137.2,209.0,90.4
SEEMS,905,112.4,112.4,115.6,115.6,53.2
TO,374,39.0,85.5,78.0,124.5,85.5
BE,234,7.5,46.5,46.5,85.5,78.0
OD,390,55.0,78.0,109.5,132.5,77.5
F,484,0,0,0,0,47.0
SOME,671,58.5,120.8,128.8,199.0,97.8
TOURIST,1560,283.0,321.0,323.0,361.0,75.7
AMOUSSPOT,13884,1213.2,1253.1,1249.6,1289.4,67.7
NEAR,1014,148.0,206.8,214.5,273.2,90.0
A,156,0,0,0,0,78.0
LAKE,1201,58.5,121.0,124.8,187.2,89.8
THERE,4337,187.2,209.0,209.0,230.8,68.6
IS,296,8.0,47.0,62.5,101.5,93.5
A,78,0,0,0,0,78.0
LOT,530,78.0,130.0,130.0,182.0,78.0
OF,281,8.0,31.0,46.5,85.5,93.5
TURNOUT,2028,209.6,211.9,211.7,214.0,64.6
SUGGESTING,1934,427.4,444.5,444.8,461.9,54.7
THAT,764,97.5,93.5,109.2,105.2,66.8
ITS,904,109.3,182.0,182.0,254.7,103.7
A,109,0,0,0,0,94.0
HOLIDAY,4836,303.1,378.9,383.3,459.0,91.3
OR,375,0.0,46.5,55.0,101.5,101.5
VACATION,1560,169.8,212.6,218.4,277.0,95.5
PERIOD,1186,91.0,140.3,150.8,236.5,106.5
THE,1139,88.7,156.0,161.3,228.7,103.7
PEOPLE,921,174.0,179.3,207.8,213.2,80.8
SEEM,687,81.8,124.8,124.8,167.8,66.5
TO,374,23.5,62.5,62.5,101.5,78.0
BE,234,15.5,47.0,54.5,86.0,70.5
ENJOYING,2340,577.0,618.1,608.4,649.5,66.6
ALL,531,57.0,83.0,88.3,114.3,57.3
KINDS,1107,121.8,190.2,193.4,261.8,84.0
OF,2168,4.0,19.5,23.2,46.8,50.8
LEISURE,1326,321.0,352.1,367.7,398.9,77.9
ACTIVITIES,2184,280.8,316.7,315.2,354.1,67.0
ON,343,46.5,31.5,31.5,109.5,156.0
THE,405,31.0,98.7,93.7,161.3,93.7
WATERFRONT,4430,703.4,730.2,726.1,752.9,63.7
LIKE,1045,136.2,210.8,202.8,277.2,94.0
SWIMMING,1731,193.1,226.2,226.4,259.5,68.2
FISHING,9391,231.7,280.7,267.4,316.4,82.4
CANOEING,3198,323.6,368.6,372.4,417.4,84.0
ALTHOUGH,1934,275.0,308.2,329.6,362.9,80.1
IT,296,23.5,70.0,78.0,124.5,101.0
SEEMS,890,118.4,124.8,118.4,124.8,53.2
RIDICULOUS,3993,620.8,650.5,645.7,675.4,78.1
THAT,780,160.0,156.2,163.8,160.0,62.2
SO,375,16.0,70.5,55.0,109.5,93.5
MANY,733,66.2,121.0,121.0,175.8,74.2
PEOPLE,1139,187.3,192.7,215.8,221.2,75.5
ARE,655,114.3,166.3,166.3,218.3,78.0
FISHING,1513,278.7,316.4,312.1,349.9,75.7
IN,312,39.0,23.5,39.0,101.5,140.5
AREAS,1263,209.0,215.4,227.6,234.0,68.8
SO,374,15.5,62.0,62.5,109.0,93.5
