word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
UB,4820,7.5,39.0,109.5,156.0,163.5
B,1295,0,0,0,0,54.5
WAS,1092,0.0,37.4,28.2,65.6,65.6
THE,296,31.3,62.3,72.7,135.0,98.7
ONLY,592,7.8,89.5,113.0,194.8,120.8
COLLEGE,3027,195.9,206.2,206.1,223.6,55.3
THAT,499,101.5,124.8,97.8,121.0,97.5
OFFERED,1139,151.6,171.6,187.3,207.3,73.7
A,124,0,0,0,0,109.0
WIDE,1123,153.0,199.8,196.4,256.0,78.2
VARIETY,2745,229.9,302.2,306.1,394.0,105.4
IN,359,39.0,15.5,70.5,125.0,164.0
COMPUTER,3604,261.7,334.6,339.7,433.4,114.6
SCIENCE,2215,298.4,327.6,302.4,331.6,78.0
THAT,374,0.0,39.0,27.2,66.2,66.2
WAS,405,5.3,67.7,46.7,109.0,103.7
NOT,328,47.0,41.3,73.0,161.3,151.0
STUDENTS,6006,88.8,80.4,86.3,87.5,51.7
THAT,390,19.5,31.2,11.8,62.5,82.0
ARE,983,88.3,119.7,125.0,208.3,140.7
NOT,312,41.7,46.7,62.3,150.7,140.3
FORM,515,54.5,58.5,78.0,191.0,159.8
COMPUTER,3291,194.9,308.1,300.4,429.1,142.4
SCIENCE,1154,182.9,203.0,191.6,211.7,73.4
BACKGROUND,5631,116.5,178.9,176.8,257.8,88.3
THE,1607,277.0,331.5,315.8,385.8,93.2
I,1482,0,0,0,0,93.0
AM,265,7.5,46.5,54.5,93.5,86.0
SATISFIED,5117,296.4,313.3,326.4,348.5,79.4
WITH,671,19.5,105.2,109.2,210.5,132.5
MY,343,55.0,94.0,101.5,140.5,85.5
DECISION,1139,138.5,198.8,169.8,253.5,136.6
O,202,0,0,0,0,93.0
COME,452,51.0,62.5,74.0,187.5,152.5
O,1015,0,0,0,0,78.0
UB,1732,405.7,437.0,442.0,473.3,67.7
TH,608,31.0,8.0,15.5,54.5,85.5
HE,1716,0.0,41.3,31.3,72.7,72.7
MOST,1669,230.8,290.2,302.6,368.0,102.8
IMPORTANT,4072,297.7,339.2,356.2,405.6,97.6
FACTOR,858,41.7,117.0,124.8,216.2,109.7
FOR,483,36.7,119.7,114.3,197.3,114.0
A,1670,0,0,0,0,31.0
UNIVERSITY,3245,387.5,410.5,429.5,478.8,86.4
IS,188,8.0,31.0,39.0,78.0,86.0
THAT,452,89.5,97.2,81.8,89.5,74.0
IS,265,8.0,31.0,46.5,85.5,93.5
T,422,0,0,0,0,78.0
