word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
CHOOSE,1139,111.8,169.0,166.5,223.7,72.8
UB,546,0,0,0,0,39.0
BECAUSE,1482,408.0,443.6,439.0,474.6,64.4
IT,358,0,0,0,0,31.0
HA,250,15.5,62.5,62.5,109.5,94.0
S,125,0,0,0,0,94.0
A,141,0,0,0,0,94.0
VERY,499,50.8,89.8,85.8,124.8,54.5
HIGHLY,1326,236.5,265.2,275.3,304.0,75.5
REGARDED,1747,204.8,230.0,224.4,249.6,50.8
AND,359,26.0,83.3,83.3,140.7,83.3
CELEBRATED,2512,573.9,611.5,608.4,646.0,56.4
FACULTY,2200,93.4,178.3,176.1,265.3,100.3
ALSO,1903,120.8,183.2,183.2,245.8,89.8
IT,281,0,0,0,0,39.0
AHAS,4649,58.5,42.8,31.2,15.5,43.0
A,109,0,0,0,0,109.0
HISTORY,1701,164.9,211.7,216.1,271.9,71.3
OF,967,0,0,0,0,31.3
PRODUCING,2386,187.0,256.4,256.4,325.9,78.1
ONE,3057,67.7,93.7,93.7,119.7,39.0
OF,359,0,0,0,0,46.5
THE,218,5.3,20.7,26.0,52.0,57.3
BRIGHTEST,1965,147.4,199.3,199.3,251.2,58.8
STUDENTS,1638,239.9,241.9,245.6,247.6,56.5
IN,188,0,0,0,0,47.0
THE,297,15.7,57.3,67.7,130.0,98.7
COUNTRY,2746,126.9,202.7,200.6,276.4,84.9
THIN,5210,77.8,124.8,128.5,191.0,85.8
AND,343,31.3,83.3,78.0,130.0,78.0
AN,234,0,0,0,0,47.0
EXTENSIVE,2309,364.0,400.3,402.0,438.3,60.7
COURSE,1311,129.8,197.5,195.0,262.7,78.2
WORK,718,78.2,121.0,113.2,156.0,62.2
THAT,312,3.8,15.8,23.5,43.0,46.8
SUITED,889,49.3,109.2,109.2,169.0,72.8
MY,344,0,0,0,0,39.0
NEEDK,5631,49.2,72.7,72.7,96.2,36.5
THAT,297,0.0,15.5,23.5,39.0,39.0
THE,234,5.3,20.7,31.3,57.3,62.7
MOST,577,74.0,117.0,124.8,183.2,85.8
INMPORTANT,1919,405.5,440.0,436.8,471.3,56.3
QUALITY,1248,100.3,160.4,151.6,216.0,73.3
INA,546,41.3,109.3,124.7,192.7,114.7
UNIVERSITY,2043,315.1,357.2,351.1,393.2,65.5
IS,749,265.0,296.5,312.0,343.5,78.5
THE,297,5.0,67.7,67.7,130.3,94.0
KIND,749,109.0,159.8,159.8,210.5,70.2
OF,437,125.0,164.0,171.5,210.5,85.5
OPPERTUNITIES,3183,732.0,762.0,757.2,787.2,57.7
THAT,343,4.0,19.5,19.5,43.0,47.0
IT,265,47.0,86.0,86.0,125.0,78.0
PROVIDES,1622,107.4,163.9,167.6,224.1,68.1
ITS,1419,83.3,130.0,135.0,181.7,77.7
STUDENTS,5990,249.8,259.5,259.5,269.2,54.5
IN,359,0,0,0,0,47.0
TERMS,936,115.4,174.6,168.4,227.6,68.6
OF,312,78.0,117.0,109.0,148.0,70.0
EXPOSURE,1857,273.1,310.0,306.2,347.1,66.4
AND,421,52.0,98.7,109.3,156.0,78.0
EXPERIENCE,2901,307.3,340.1,341.7,374.5,54.6
THE,1357,20.7,67.7,73.0,130.0,93.3
COURSE,1155,106.7,169.0,169.0,231.3,72.8
WORK,858,74.0,140.2,136.5,202.8,89.8
I,3651,0,0,0,0,109.0
BELIEVE,1544,432.3,450.1,459.0,476.9,60.1
THAT,359,7.8,19.5,15.5,42.8,50.5
TAT,5039,0,0,0,0,26.0
UB,765,0,0,0,0,31.0
ACCOMPLISHES,2496,175.5,218.3,222.2,265.0,62.3
THIS,920,58.2,101.5,117.0,183.2,101.2
YES,1669,114.0,176.7,166.3,229.0,83.7
I,93,0,0,0,0,78.0
WOULD,1030,68.6,128.0,140.4,212.2,96.8
RECOMMEND,4649,533.4,551.8,557.5,575.9,45.4
UB,905,280.5,319.5,312.0,351.0,70.5
TO,188,0,0,0,0,47.0
HIGH,1919,199.6,215.2,218.4,234.0,34.4
SCHOOL,2044,93.5,153.3,143.0,202.8,70.3
GRADUATES,6131,344.8,379.0,385.4,419.6,57.6
EMPLOYEES,3932,362.3,393.6,395.2,426.4,55.6
Y,23806,0,0,0,0,63.0
UB,2574,0,0,0,0,31.5
PROVIDES,1638,117.0,171.6,173.5,228.1,64.4
LOT,530,93.7,145.7,145.7,197.7,78.0
OF,390,101.5,140.5,140.5,179.5,78.0
OPPERTUNITIES,3900,766.8,792.4,792.4,817.9,51.3
AND,452,62.7,114.7,119.7,171.7,83.0
HAS,561,93.3,150.7,150.7,208.0,83.3
