word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
MY,982,85.5,132.5,132.5,179.5,94.0
AVOURITE,4899,390.2,458.7,460.2,531.9,85.7
RITE,6068,18.2,54.7,59.8,96.3,57.3
CLASS,733,6.2,53.0,53.0,106.2,78.2
N,203,0,0,0,0,110.0
CHIGH,3307,34.3,34.3,32.7,32.7,29.8
SCHOOL,1872,228.7,299.0,286.0,356.3,75.7
WAS,405,31.3,83.3,67.7,119.7,88.3
HISTORY,3369,513.1,539.2,544.2,570.3,60.7
AND,359,5.0,62.3,36.3,93.7,88.7
IT,1076,0,0,0,0,41.7
WAS,406,41.7,93.7,67.7,119.7,78.0
LARGEL,1731,384.8,416.0,421.2,452.3,93.2
Y,702,0,0,0,0,94.0
BECAUSE,2745,230.4,268.7,273.9,319.0,59.0
OF,1045,0,0,0,0,31.0
MY,515,133.0,187.5,187.5,242.0,109.0
TEACHER,3011,341.4,401.9,374.4,434.9,101.4
WHO,1045,228.7,301.7,301.3,374.3,109.3
READ,593,62.2,82.0,82.0,171.8,128.8
OUT,1030,234.0,275.7,270.3,312.0,78.0
HT,406,0.0,101.5,78.0,179.5,179.5
THE,1279,5.0,46.7,41.3,83.0,78.0
LESSONS,3666,131.9,167.4,166.0,207.1,53.9
LIKE,1139,195.0,249.5,241.8,296.2,81.8
IT,343,0,0,0,0,39.0
WERE,1248,203.0,242.0,245.8,284.8,81.8
LIK,5460,31.3,55.7,51.3,75.7,35.6
THE,421,21.0,88.3,88.3,197.7,161.3
EVENTS,2091,113.1,126.8,124.8,142.4,60.4
OF,2044,0,0,0,0,36.3
THE,343,5.3,47.0,41.7,83.3,78.0
PAST,593,15.5,54.8,62.5,124.8,97.2
UNFOLDING,4399,882.3,941.7,930.3,995.5,99.3
IN,1202,20.7,62.3,57.3,99.0,78.3
FRONT,1513,174.8,230.8,234.0,296.4,87.4
OF,219,0,0,0,0,78.0
US,281,7.5,54.5,54.5,101.5,94.0
MY,562,86.0,140.5,140.5,195.0,109.0
LEAST,1591,168.4,237.2,252.8,334.0,118.6
FAVORITE,3666,273.0,336.9,336.9,407.0,81.0
SUBJECT,1810,142.6,209.4,211.7,287.4,89.1
HAS,359,10.7,46.7,31.0,88.3,99.0
LWAYS,1763,230.8,299.6,305.8,374.6,96.8
BEEN,608,50.8,97.5,101.5,148.2,78.0
CHEMISTRY,3868,117.7,195.7,198.5,276.5,87.9
YES,1544,226.0,288.5,284.8,347.2,86.0
I,343,0,0,0,0,78.0
DO,468,101.5,148.0,156.0,202.5,101.0
LIKE,1326,190.2,237.0,224.6,271.4,65.6
INTERACTIVE,5616,401.0,411.1,413.0,423.1,54.2
CLASSES,1841,204.8,239.9,241.8,276.9,70.2
LABS,1092,152.0,206.8,206.8,261.5,86.0
CAN,452,10.3,78.0,88.3,166.0,124.3
BE,203,0,0,0,0,94.0
MADE,718,43.0,128.5,125.0,234.0,156.0
MORE,687,42.8,128.5,109.2,195.0,121.0
FUN,1076,208.3,291.0,296.3,400.3,145.7
B,250,0,0,0,0,109.0
Y,608,0,0,0,0,78.0
HAVING,1420,39.3,91.0,91.0,179.7,112.2
OPENENDEDE,3323,3.9,6.5,9.1,19.5,23.4
PROJECTS,1794,101.2,173.6,181.2,276.9,117.0
ND,936,0,0,0,0,36.3
XPREIMENTS,2839,362.4,391.3,399.5,445.2,76.8
XPERIMETNS,8268,376.3,393.9,392.9,428.1,56.6
NTS,2387,187.3,239.3,228.7,312.0,114.3
BUT,562,31.0,88.3,72.7,130.0,99.0
THEY,1139,15.5,54.8,50.8,121.0,97.5
CERTAINLY,2512,164.4,258.2,254.8,351.9,107.6
ARE,3494,49.3,75.3,75.3,101.3,52.0
USEFUL,3573,696.1,733.1,735.2,772.2,68.2
NO,702,0,0,0,0,54.5
I,296,0,0,0,0,78.0
DON,2215,218.2,277.0,280.8,339.5,86.0
FIND,468,23.5,66.5,46.8,136.8,117.2
HOMEWORK,4508,1261.8,1294.8,1296.6,1329.6,72.9
AND,358,5.0,57.0,41.3,93.3,88.3
QUIZED,1653,137.7,236.5,228.8,327.7,124.8
ZES,3573,0.0,33.8,26.0,59.8,59.8
USEFUL,3604,568.3,588.3,601.7,621.7,73.7
NOT,3260,20.7,62.3,52.0,93.7,73.0
AS,6100,0,0,0,0,40.6
I,1419,0,0,0,0,62.0
PLAN,967,132.8,195.0,198.8,269.0,89.8
T,188,0,0,0,0,156.0
WORK,1450,203.0,249.6,252.6,305.6,74.8
IN,328,15.5,39.0,62.5,117.0,132.5
TGHE,375,31.2,23.5,23.5,78.2,78.2
GE,983,0,0,0,0,54.5
RE,266,54.5,39.0,8.0,101.5,156.0
A,749,0,0,0,0,78.0
IOF,1108,25.0,3.2,0.0,21.8,46.8
