word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
BUFFALO,1903,142.6,200.6,205.0,263.0,73.6
IS,312,62.5,101.5,94.0,133.0,70.5
NOT,468,46.7,104.0,109.0,166.3,88.3
A,140,0,0,0,0,78.0
BUSY,639,58.5,117.0,105.2,163.8,74.0
CITY,812,85.8,136.5,140.5,191.2,70.2
LIKE,593,62.5,113.2,113.2,164.0,70.2
NEW,702,88.7,135.3,140.7,187.3,72.7
YORK,1716,121.0,175.5,179.5,234.0,74.0
ITS,749,109.0,161.0,161.0,213.0,78.0
A,296,0,0,0,0,62.0
RELATIVELY,4867,512.0,541.7,545.9,575.6,51.0
CALM,718,89.8,140.2,140.5,191.0,66.2
COMAPRED,2839,73.4,121.7,123.2,180.9,63.9
EVEN,5865,82.0,78.0,86.0,82.0,50.5
THOUGH,3183,336.9,343.1,343.2,349.4,28.1
ITS,1248,327.7,374.3,374.7,421.3,67.7
IS,296,47.0,86.0,86.0,125.0,78.0
SEOND,999,103.2,171.6,174.8,268.4,109.2
COND,1779,39.0,105.2,105.2,202.5,112.8
CITYLARGEST,4961,1089.2,1136.0,1136.0,1182.8,68.1
CITY,2293,417.0,471.8,471.8,526.5,74.2
ITY,3167,202.7,254.7,254.7,306.7,78.0
IN,328,23.5,70.5,62.5,109.5,86.0
NEW,952,119.7,171.7,171.7,223.7,78.0
YORK,1232,136.2,191.0,187.2,242.0,70.5
STATE,1919,168.4,183.8,181.0,196.4,56.2
THIS,921,70.2,124.8,124.8,179.2,70.0
IS,250,23.5,54.5,62.5,93.5,70.0
THE,452,62.3,114.3,114.3,166.3,72.7
FACT,670,74.2,132.5,124.8,183.0,73.8
I,4649,0,0,0,0,78.0
LIKE,562,58.8,113.2,113.2,167.8,74.0
THE,406,47.3,73.0,72.7,119.7,67.7
CITY,749,85.8,132.8,132.5,179.5,62.5
FOR,358,36.3,83.3,83.0,130.0,67.7
THE,405,47.0,93.7,93.7,140.3,67.3
ABOVE,1139,140.4,199.6,202.8,262.0,74.8
REASON,3042,335.2,416.0,418.7,499.5,93.8
I,436,0,0,0,0,78.0
DONT,811,82.0,152.2,152.2,238.0,105.2
NOT,484,41.7,93.7,124.7,187.3,114.7
LIKE,608,50.8,105.5,113.0,167.8,78.0
THE,437,57.0,104.0,99.0,146.0,68.0
WEATHER,3152,450.5,473.9,475.9,499.2,50.8
IN,312,31.5,62.5,70.5,101.5,70.0
BUFFALO,1404,104.7,151.6,153.9,200.7,58.0
YES,1014,109.3,156.0,150.7,197.3,67.3
I,390,0,0,0,0,62.0
LIKE,609,62.2,113.2,117.0,168.0,70.5
THE,468,62.3,109.3,104.0,151.0,67.7
BUILDINGS,2216,315.4,372.8,348.3,405.7,79.8
AND,375,47.0,88.3,88.7,130.0,57.0
THE,452,46.7,98.7,98.7,150.7,78.0
LECTURE,1170,274.1,307.6,307.6,341.0,66.9
ROMS,1201,132.8,222.5,214.5,304.2,101.2
OMS,1747,109.3,156.0,161.3,208.0,72.7
ALTHOUGH,5523,187.2,206.1,208.3,227.2,34.4
I,281,0,0,0,0,78.0
DO,1123,31.0,70.0,78.0,117.0,86.0
NOT,577,47.0,104.0,140.3,208.0,130.0
EAT,7363,639.8,667.8,661.4,689.4,37.2
