word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
I,4212,0,0,0,0,93.0
LIKE,640,62.5,101.5,101.5,140.5,58.5
ABOUT,702,53.0,84.2,99.8,137.0,65.2
MY,2153,35.2,46.8,54.8,66.2,31.0
CURRENT,1965,66.4,101.4,101.4,140.4,48.8
CITY,655,78.2,125.0,136.5,183.2,74.0
BUFFALO,2496,104.9,151.6,153.7,218.4,75.9
NY,530,70.0,93.5,109.0,132.5,62.5
NYTHE,5928,776.8,808.0,817.6,848.8,50.0
FIRST,624,40.6,103.0,106.2,168.6,81.2
THING,1030,56.4,109.2,106.2,159.0,65.4
IS,203,0,0,0,0,31.5
THAT,437,62.2,70.0,66.2,74.0,62.2
ITS,421,46.7,98.7,104.0,156.0,83.3
IS,140,0,0,0,0,31.0
A,124,0,0,0,0,109.0
VERY,546,58.5,113.2,117.0,171.8,74.2
PEACEFUL,1654,292.5,331.6,347.1,386.2,83.9
CITY,1888,43.2,105.5,113.2,175.5,89.5
AND,281,20.7,52.0,57.3,109.3,93.7
SURROUNTY,8112,1214.2,1237.6,1241.5,1264.9,40.2
AND,328,15.3,62.3,78.0,125.0,88.7
PEOPLE,1061,223.5,233.8,231.5,241.8,39.2
ARE,437,57.3,109.3,119.7,171.7,88.3
VERY,483,35.2,105.2,97.5,167.5,81.8
GENEROUD,1372,148.4,185.4,177.5,214.5,68.1
S,452,0,0,0,0,78.0
AND,312,0.0,31.3,41.3,72.7,72.7
FRIENDLY,1779,142.2,204.8,204.8,267.2,72.2
OVER,671,93.8,148.2,148.2,202.8,70.0
HERE,796,164.0,171.5,152.5,160.0,50.8
I,1201,0,0,0,0,78.0
DISLIKED,1202,119.0,138.4,138.4,157.8,46.8
ABOUT,1514,181.8,215.8,223.7,262.7,59.8
BUFFALO,2496,234.1,280.8,282.8,329.4,56.4
IS,203,23.5,54.5,54.5,85.5,62.0
ITS,1216,50.8,93.8,89.8,132.8,62.5
UNPREDICTABLE,2620,333.5,387.5,385.2,443.9,71.9
WEATHER,1841,343.1,372.1,381.0,410.0,71.4
LECTURE,2964,327.7,354.4,356.9,383.6,62.6
ROOMS,1154,124.8,165.4,162.2,202.8,53.0
ARE,561,57.0,109.0,145.3,197.3,114.3
HUGE,1357,196.4,227.8,221.4,252.8,43.8
AND,359,15.7,57.0,78.0,140.7,109.7
FACILITIES,2309,313.5,365.1,369.6,421.2,76.5
PROVIDED,1155,120.9,158.0,154.1,191.2,60.5
IN,312,54.5,101.5,93.5,140.5,86.0
THEM,531,35.2,89.8,101.5,156.0,85.8
THOS,3837,35.5,89.8,86.0,148.2,85.8
E,358,0,0,0,0,94.0
ROOMS,702,74.8,118.6,118.6,162.4,62.6
ARE,530,67.7,125.0,140.3,197.7,98.7
GOOD,1638,58.5,89.8,85.8,117.0,42.8
CAMPUS,1186,70.3,127.3,140.5,208.2,91.2
DININGI,11185,3077.6,3091.0,3086.4,3099.9,46.9
THINK,671,68.8,112.4,112.4,168.4,71.6
THERE,671,59.4,87.4,90.6,118.6,43.6
SHOULD,2277,296.5,340.5,351.0,395.0,64.8
BE,156,0.0,31.5,39.0,70.5,70.5
MORE,1170,40.6,84.2,87.4,131.0,59.2
VARIETIES,1482,173.4,208.1,208.1,242.8,60.7
OF,1809,20.7,41.7,52.0,73.0,52.3
FOOD,640,93.8,121.0,121.0,148.2,42.8
BENG,3276,49.3,93.5,96.2,140.3,57.2
ING,1700,52.0,104.0,104.0,156.0,78.0
PROVIDED,4040,136.6,173.6,175.5,212.5,62.5
IN,718,54.5,101.0,101.5,148.0,93.5
DIFFENRET,5835,147.3,169.8,171.6,200.9,58.8
ENT,1435,15.7,57.3,72.7,114.3,78.0
NATIONS,1310,218.3,242.9,256.3,280.9,69.1
FOOD,1529,89.8,128.8,128.8,167.8,58.5
SPECIALITIES,9796,1289.7,1291.2,1298.7,1300.2,54.7
SCHOOL,7051,236.3,280.9,289.7,334.3,64.6
HAS,250,5.0,57.0,26.0,78.0,73.0
ENORMOUS,1529,222.4,245.8,255.4,278.8,56.6
NUMBER,4461,123.3,149.8,151.3,177.8,35.8
OF,140,7.5,31.5,23.5,62.5,70.0
SPOR,17800,179.7,177.0,174.3,171.7,41.7
OP,6833,0,0,0,0,6.7
MENU,6194,390.0,440.0,443.2,493.2,68.8
FACILITIES,4149,168.5,227.7,226.3,285.5,81.1
PROFESSORS,2340,227.7,227.7,232.4,232.4,39.0
ARE,561,77.7,124.7,150.7,197.7,99.0
GOOD,437,46.8,62.2,70.2,85.8,39.0
OVER,687,93.5,152.2,156.0,214.8,78.2
HERE,4119,312.0,314.7,306.8,309.5,39.2
THERE,5928,42.3,60.1,62.3,80.1,29.0
CAN,421,41.7,93.7,88.3,171.7,119.7
BE,171,0,0,0,0,31.0
MORE,484,55.0,101.5,101.5,148.0,66.0
TRADITIONAL,1607,307.7,323.4,322.0,337.6,55.5
EVENTS,2543,223.7,259.8,241.8,278.0,78.0
BE,188,7.5,54.5,39.0,86.0,78.5
ORGANIZED,2948,107.6,187.2,185.4,265.1,88.3
EDUCATION,3167,239.0,308.4,313.7,383.1,83.3
AND,390,20.7,62.3,98.7,140.3,93.7
PCLASSROOMS,11825,1012.5,1062.3,1059.4,1109.1,73.7
HAVE,359,11.5,62.5,62.5,129.0,86.0
PLENTY,2075,218.3,271.9,276.4,330.0,69.3
OF,156,0,0,0,0,47.0
SPACE,936,50.0,118.4,124.8,193.2,93.4
MY,546,70.5,109.5,125.0,164.0,93.5
FAVOURITE,1482,76.3,149.1,150.8,223.6,83.1
VACATION,1342,162.0,194.9,193.1,226.0,68.1
SPOT,874,144.8,187.2,199.0,241.5,69.8
IS,202,15.5,62.0,54.5,101.0,85.5
PUNE,1607,206.0,249.6,259.0,302.6,65.4
HIMACHAL,14056,198.2,210.8,202.7,215.3,57.6
BDRIMATH,24445,69.1,108.1,109.2,148.2,44.6
ADRINATH,5180,431.8,457.8,464.6,490.6,65.7
DHAM,952,50.8,121.0,124.8,195.0,97.5
IN,281,55.0,94.0,94.0,133.0,78.0
INDIH,8050,735.7,746.2,748.8,759.3,46.8
IT,1279,210.5,249.5,241.5,280.5,70.0
