word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
I,312,0,0,0,0,93.0
I,2948,0,0,0,0,18.6
IKE,905,31.3,62.3,52.0,83.0,51.7
THE,1029,176.7,239.0,228.7,291.0,88.3
DALKL,780,96.6,152.8,140.2,196.4,99.8
FALL,2059,19.5,50.8,50.8,82.0,62.5
OLORS,1029,143.6,146.8,146.6,149.8,56.0
BUFFALO,1716,84.3,135.9,131.4,196.1,75.9
THEY,639,31.0,82.0,74.2,132.8,82.0
FILL,546,0.0,15.8,42.8,58.5,58.5
COLORS,1747,260.2,288.7,301.5,335.3,96.2
IN,344,0,0,0,0,62.5
TH,265,0,0,0,0,54.5
E,765,0,0,0,0,109.0
SURROUNDING,3963,153.9,178.3,179.4,208.4,78.1
I,827,0,0,0,0,94.0
IKE,359,0,0,0,0,26.0
TH,328,0,0,0,0,47.0
BUILDIBNGS,2777,358.7,368.6,391.5,401.4,80.7
NGS,2325,47.0,78.0,78.0,109.0,62.0
AND,172,26.0,15.3,10.7,52.0,78.0
ROOM,609,62.5,117.0,113.2,167.8,81.8
ELL,359,0,0,0,0,57.3
ANMD,390,35.0,35.2,35.2,74.0,81.8
END,2683,0,0,0,0,23.2
IU,187,47.0,15.5,0.0,31.5,78.5
FEEL,500,46.8,78.0,78.0,109.2,62.5
THAT,406,7.8,27.2,15.8,50.8,58.5
IT,203,8.0,54.5,39.0,101.5,109.5
HAS,312,20.7,52.0,10.3,83.0,103.7
GOOD,2168,41.7,85.8,83.2,127.3,64.8
INFRASTRUCTURE,4181,620.6,661.9,667.4,708.8,94.9
CAMOUS,2839,57.0,119.7,119.7,213.3,119.7
DINING,858,78.2,114.5,106.7,143.0,54.5
OPIS,12683,2336.0,2355.5,2340.0,2390.5,66.0
ALSO,421,23.2,46.8,46.8,116.8,112.8
GOOD,546,54.5,70.0,93.5,109.0,54.5
PROVING,2106,146.1,220.4,222.2,304.5,97.9
HEALTHY,1248,220.7,260.7,265.3,314.1,86.9
FOOD,718,74.2,128.8,128.8,183.2,89.5
AT,234,23.0,31.5,55.0,109.5,132.5
REASONABLE,1794,358.7,368.1,383.7,408.7,96.8
PROCE,1030,62.4,156.0,162.2,255.8,121.6
ICE,1856,21.0,62.7,47.0,88.7,67.7
WE,546,31.5,93.5,109.5,171.5,140.0
DONT,827,105.2,167.8,167.8,261.2,128.5
VE,530,7.5,54.5,39.0,101.0,108.5
TRAVEL,1294,67.8,148.2,150.7,231.0,103.7
FAR,562,46.7,88.3,88.3,130.0,83.3
FOR,110,0.0,26.0,0.0,26.0,26.0
GHOOD,437,59.4,68.8,59.4,93.6,53.0
OOD,1794,67.7,99.0,98.7,130.0,62.3
FOOD,1014,59.2,78.0,71.8,90.6,31.4
D,1482,0,0,0,0,93.0
N,63,0,0,0,0,47.0
SPORTIMNF,4430,267.7,292.8,297.5,358.8,79.2
ING,2028,62.7,161.3,156.0,254.7,140.0
FACILITIES,1997,221.6,271.3,265.1,314.8,76.2
RE,546,0,0,0,0,85.5
ALSO,436,31.2,54.5,66.2,128.5,109.0
GOOD,1342,71.8,115.4,118.4,162.0,71.6
WE,515,0,0,0,0,78.0
CAN,359,0,0,0,0,41.7
START,2184,296.3,327.7,319.8,382.2,88.3
SNOW,561,19.5,82.0,85.8,148.2,105.2
SKING,827,53.2,75.0,87.4,140.4,87.2
SNOW,4181,105.2,160.0,167.8,285.0,156.2
TH,406,0,0,0,0,47.0
E,140,0,0,0,0,125.0
EDUCATION,1716,74.4,156.0,154.3,256.6,114.3
S,297,0,0,0,0,171.0
PRACTICAL,1513,211.4,223.6,211.3,230.3,79.8
AN,281,0,0,0,0,93.5
ND,2246,0,0,0,0,47.0
LOTE,577,58.5,105.2,105.2,152.0,70.0
F,156,0,0,0,0,141.0
MPHASIS,1498,102.4,187.1,189.4,274.1,107.0
LAID,951,94.0,183.2,183.2,288.5,136.5
ON,390,0,0,0,0,62.5
PROJECTS,1997,81.9,134.5,138.5,241.6,118.8
WE,499,0,0,0,0,70.0
HAVE,1857,5.0,44.2,41.5,85.7,59.7
ENTHUSIAIATICS,8190,779.1,768.5,789.0,783.3,61.6
AN,172,0,0,0,0,78.0
KLNOWLEDGEABL,5679,1237.3,1291.3,1272.0,1326.0,86.3
E,265,0,0,0,0,141.0
PROFFERDORS,6193,603.9,624.0,628.4,648.5,63.6
AND,609,15.7,31.0,31.3,78.0,93.7
WE,187,0,0,0,0,93.5
HABE,796,58.5,124.8,101.5,198.8,128.5
