word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
LIKE,671,50.8,128.8,124.8,210.8,113.2
THE,421,5.3,31.3,46.7,72.7,67.3
FACT,780,35.0,105.2,105.2,175.5,97.5
THAT,1560,124.8,127.8,121.8,124.8,90.6
BUFFALO,1732,89.1,158.1,171.6,240.6,93.6
IS,234,0,0,0,0,46.5
BEAUTIFUL,3666,410.9,453.7,458.9,506.8,79.2
CITY,905,89.8,140.2,144.2,210.8,101.8
BUT,437,15.3,104.0,83.3,172.0,120.0
DONT,1856,25.0,56.0,74.8,112.2,68.6
IKE,421,26.0,72.7,57.3,104.0,78.0
HE,874,203.0,244.3,244.7,286.0,83.0
FACT,765,54.5,163.8,156.0,265.2,136.8
THAT,546,7.8,35.0,31.2,58.5,50.8
I,219,0,0,0,0,125.0
T,812,0,0,0,0,62.5
HAS,297,5.0,52.0,31.3,88.3,93.3
AN,1592,0,0,0,0,43.0
XTREMELY,1856,154.0,230.1,226.1,314.0,130.8
LONG,702,58.5,144.5,144.2,230.2,113.2
WINTER,1014,67.7,106.5,111.8,208.3,120.0
AND,4399,5.0,52.0,73.0,130.0,135.0
PEACEFUL,2574,277.7,321.4,330.8,374.5,87.5
LIKE,624,47.0,101.5,101.5,156.0,85.8
THE,328,0.0,26.0,36.3,62.3,62.3
BUILDINGS,1607,161.3,211.4,209.8,270.3,90.1
HEY,343,5.3,46.7,52.0,93.3,88.0
ARE,452,41.7,93.7,109.0,192.3,140.3
SYMMETRICAL,3776,217.3,301.6,300.3,387.2,97.3
AND,437,5.3,41.7,73.0,109.3,104.0
WELL,608,54.8,105.2,124.8,175.2,93.2
PLANNED,6693,175.0,230.4,232.3,291.1,74.4
NOW,952,62.3,109.0,88.7,187.3,135.3
ANT,999,192.3,228.7,254.7,311.7,119.3
IMAGINE,4118,135.1,194.2,192.4,251.6,71.2
IT,218,0,0,0,0,70.0
ANY,546,36.7,109.0,140.3,223.3,150.7
OTHER,2028,49.0,115.9,109.1,176.0,86.9
WAY,624,52.0,109.0,114.3,202.7,119.7
CAMPUS,1201,65.2,140.3,137.8,233.7,114.0
DINING,2652,109.2,136.5,136.5,163.8,42.8
RETTY,795,65.4,112.2,118.6,165.4,75.0
GOOD,577,78.0,105.2,109.2,175.5,101.2
EEL,515,10.3,31.3,36.3,78.0,88.3
NLY,531,36.3,104.0,98.7,187.0,129.7
STANDING,1513,175.6,212.5,212.6,261.2,105.1
LINES,2060,26.7,71.3,78.0,127.1,69.3
A,421,0,0,0,0,156.0
PROBLEM,1607,84.9,162.6,171.6,258.4,107.0
DO,187,0,0,0,0,86.0
FEEEL,1029,112.2,156.0,174.6,218.4,90.6
L,765,0,0,0,0,110.0
SCHOOL,2012,203.0,260.7,267.4,334.3,86.9
HAS,250,10.3,52.0,15.7,78.0,88.3
ENOUGH,2917,242.9,305.0,312.0,374.1,79.4
SPORTING,1217,52.8,130.6,134.5,243.6,128.6
FACILITES,2324,153.0,207.6,219.9,274.5,90.4
ALUMNI,1341,70.2,135.3,153.3,218.5,93.7
ARENA,1076,3.2,59.4,71.8,128.0,90.4
IS,234,0,0,0,0,55.0
PRETY,1046,65.8,171.6,181.0,311.6,161.8
HUGE,577,27.0,101.5,105.2,179.8,109.5
AND,453,36.3,78.0,83.3,125.0,88.7
HAS,312,10.3,52.0,36.7,99.0,109.3
EVERYTHING,1201,77.9,102.9,104.6,163.8,93.5
ONE,546,62.3,140.7,135.0,213.3,109.3
WOULD,795,40.6,99.8,102.8,180.8,112.2
WANT,1404,58.5,148.2,136.5,226.2,101.5
IT,5413,1614.5,1669.0,1684.5,1739.0,124.5
IN,343,0,0,0,0,78.0
GENERL,2761,343.1,363.1,376.4,409.9,73.3
NO,312,0,0,0,0,47.0
IDEA,593,35.2,50.5,50.8,136.5,121.0
ABOUT,671,43.8,109.2,106.0,227.8,146.8
SPECIFIC,1872,261.4,263.1,257.5,282.5,89.6
S,281,0,0,0,0,124.0
TO,936,26.0,26.0,20.7,72.7,98.7
PARSOME,9375,626.1,652.9,656.3,683.1,40.1
SMALL,1077,84.2,177.8,184.2,277.8,128.0
SPECIFIC,1076,134.6,148.1,148.2,165.8,81.9
THINGS,780,49.5,52.0,65.0,130.2,96.5
ONE,358,26.0,73.0,57.0,104.0,78.0
MIGHT,671,31.2,81.0,90.6,159.2,96.8
NEED,531,31.2,58.5,62.5,89.8,58.5
FOR,296,10.3,26.0,26.0,62.3,72.7
PARTICULAR,1513,213.8,255.9,252.7,301.2,79.6
SPORT,3885,21.4,72.2,78.0,140.4,79.9
OTHER,1217,34.4,109.2,112.2,224.6,143.6
REC,3791,0,0,0,0,37.6
OTHER,1482,158.5,218.5,205.5,286.2,106.7
RECREATIONAL,2044,253.6,270.6,266.5,306.8,93.6
ACTIVITIES,2418,344.7,407.3,405.6,468.2,107.7
MIGHT,905,37.4,137.2,140.4,240.2,124.8
RELATE,3089,326.0,354.1,354.0,382.1,65.5
O,156,0,0,0,0,141.0
FILED,1139,100.0,162.2,171.6,240.2,96.8
ELD,967,21.0,98.7,99.0,176.7,119.3
SPECIFIC,1732,208.9,226.2,232.1,257.5,103.4
HOBBIES,1326,73.4,138.1,140.4,205.1,82.6
LIKE,624,50.8,97.5,105.5,152.2,78.0
WRITING,1061,98.1,122.7,138.4,198.4,95.9
FOR,359,5.3,21.0,52.0,67.7,62.3
W,2246,0,0,0,0,41.7
RRTHINKING,7909,172.7,182.0,194.5,208.0,43.6
ROOMS,826,74.8,115.4,115.4,156.0,71.8
FOR,328,5.3,47.0,41.7,83.3,78.0
ENGINEERIGN,2246,85.8,91.0,83.2,106.5,49.2
NG,1482,5.0,31.3,31.3,67.7,72.7
MAJORS,873,41.7,127.5,122.2,228.7,122.0
ETC,702,93.3,166.3,166.3,239.3,120.0
THE,4088,51.0,97.5,97.5,160.0,93.8
LASSED,1201,65.2,156.0,150.8,247.0,109.2
S,1310,0,0,0,0,31.2
AND,484,36.3,98.7,124.7,187.0,119.7
RETTY,1233,121.6,146.6,156.0,218.2,99.6
GOOD,842,58.2,105.2,105.2,167.8,93.8
AND,405,10.3,36.7,57.0,104.0,114.3
HAVE,514,11.8,62.5,62.2,113.0,81.8
NO,296,0,0,0,0,47.0
NT,4290,66.2,85.8,80.0,99.5,33.2
COME,468,39.0,66.2,70.2,128.5,97.2
IN,452,70.5,132.5,125.0,187.0,116.5
CONTACT,1794,456.7,467.9,443.4,454.6,89.1
WITH,640,31.0,121.0,117.0,222.5,136.8
O,203,0,0,0,0,125.0
MANY,593,38.8,62.5,58.5,128.8,97.5
LABS,1810,180.6,238.6,238.4,296.4,78.0
BUT,1825,9.4,49.8,49.8,96.6,71.8
PROFESSORS,3323,240.7,254.1,250.8,264.1,37.9
RE,483,39.0,39.0,31.5,109.5,148.5
PRETTY,1638,161.3,244.3,244.3,332.7,111.7
GREAT,4384,196.6,271.4,287.0,393.0,143.4
MY,27784,0,0,0,0,78.0
FAVORITE,1607,78.1,189.1,183.2,298.2,124.8
VACATION,2496,438.7,487.0,475.1,547.9,112.9
SPOT,842,27.2,128.8,128.8,238.2,148.5
WOULD,718,18.6,106.2,99.8,187.4,118.8
BE,624,0,0,0,0,47.0
SMALL,796,46.8,121.6,140.4,215.2,106.0
OWN,406,26.0,78.0,52.0,104.0,78.0
KASHMIR,3136,240.9,294.7,303.3,374.4,88.4
INDIA,1576,187.2,202.7,171.5,187.0,54.7
NAMED,733,18.8,81.2,78.0,165.6,109.4
PEHELGAM,7909,352.2,388.8,396.5,435.5,72.7
IT,983,0,0,0,0,78.0
