word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
DBUFFALO,14055,1624.4,1679.0,1684.8,1739.4,68.2
IS,218,23.5,70.0,62.5,109.0,85.5
SUBURBAN,2044,255.4,294.4,290.6,329.6,68.5
SETTING,1076,86.9,133.7,136.0,187.1,64.6
AND,1186,15.3,78.0,88.3,151.0,104.3
OFTEN,3884,28.2,51.5,51.5,74.8,31.1
FIND,468,31.0,66.2,70.2,105.5,58.8
IT,219,0.0,47.0,39.0,86.0,86.0
DEVOID,1170,231.5,252.2,254.8,275.5,67.7
OF,203,16.0,62.5,55.0,101.5,85.5
HAPPENING,1186,128.4,159.7,159.7,194.2,60.6
EVENTS,967,98.8,127.3,122.0,150.5,70.2
OF,202,15.5,54.5,54.5,93.5,78.0
R,889,0,0,0,0,78.0
ACTIVITIES,1918,268.3,301.1,301.0,333.8,60.9
F,172,0,0,0,0,78.0
THAT,515,113.0,116.8,113.0,116.8,62.2
KIND,983,62.2,120.8,117.0,175.5,78.0
PEOPLE,7051,132.7,153.5,135.2,156.0,49.3
ARE,624,114.3,166.3,171.3,223.3,88.3
HARDLY,890,78.0,127.3,127.5,202.8,91.0
EEN,499,0,0,0,0,36.3
ON,266,0,0,0,0,31.5
THE,327,36.3,78.0,72.7,135.0,88.3
STREETS,905,111.4,113.6,107.0,109.1,33.6
WALKING,1123,71.3,136.0,133.7,198.4,75.9
ITS,515,78.0,135.3,135.3,192.7,83.3
ALMOST,1233,104.2,169.0,171.7,236.5,80.5
LIKE,531,51.0,89.8,86.0,124.8,58.2
DESERTED,2122,214.4,212.4,210.6,208.6,58.4
BESIDES,1202,180.7,203.0,200.7,223.0,55.7
IT,202,0.0,39.0,39.0,78.0,78.0
GETS,670,15.8,81.8,78.0,144.0,85.5
TOO,468,62.3,88.3,93.7,119.7,57.3
FREAKING,1419,99.2,167.6,165.8,234.1,78.1
COLD,1170,42.8,93.8,101.2,152.2,74.2
DURING,733,39.0,104.0,104.0,169.0,80.5
THE,296,0.0,26.0,26.0,52.0,52.0
WINTERS,2184,229.6,296.4,296.4,363.3,80.3
AND,297,0.0,26.0,31.3,57.3,57.3
SNOWS,936,171.6,190.4,184.0,202.8,68.8
FOR,343,20.7,72.7,72.7,124.7,78.0
LIKE,717,93.8,156.0,148.0,210.2,77.8
MONTHS,1934,62.3,127.3,127.3,192.3,78.0
IT,483,70.5,117.0,117.0,163.5,93.0
FEELS,780,74.8,128.0,124.8,178.0,68.8
LIKE,530,54.8,105.2,105.2,163.8,78.0
BEING,1029,31.4,99.8,93.6,162.0,80.8
IMPRISONED,1872,179.3,230.9,230.9,282.5,73.4
IN,343,62.5,101.5,93.5,132.5,70.0
THE,374,31.0,88.3,83.0,140.3,83.3
HOUSE,765,65.4,134.2,128.0,196.8,84.4
FOR,358,20.7,72.7,72.7,124.7,78.0
THAT,1217,257.5,257.5,257.5,257.5,58.5
DUARION,1529,133.7,194.0,194.0,254.3,71.4
RATION,4228,197.5,262.7,265.3,330.5,80.8
AND,390,41.7,93.7,104.0,156.0,88.3
THIS,593,58.5,121.0,117.0,179.5,82.0
SUCKS,7831,112.0,130.8,130.8,149.6,65.6
YES,3931,124.7,176.7,171.3,223.3,78.0
I,593,0,0,0,0,93.0
LIKE,530,42.8,97.5,81.8,136.5,70.2
THE,312,0.0,26.0,26.0,52.0,52.0
BUILDING,1232,163.9,204.9,212.4,253.4,74.0
AND,344,10.0,72.7,78.0,140.7,99.3
LECTURE,1185,294.4,332.3,318.9,356.7,71.3
ROOMS,2121,62.2,115.4,112.2,165.4,68.8
I,218,0,0,0,0,78.0
HAVER,530,37.4,77.8,74.8,134.0,71.6
NT,2777,90.6,109.2,103.0,121.6,31.0
TRIED,655,46.8,112.2,109.2,174.6,81.0
CAMPUS,2012,218.2,283.3,280.8,346.0,75.7
DINING,2855,83.2,122.2,132.7,171.7,65.0
I,514,0,0,0,0,94.0
THINK,733,56.0,99.8,99.8,143.6,59.4
THE,358,31.3,62.3,52.0,83.0,51.7
SCHOOL,2699,361.5,397.8,405.7,442.0,54.5
COULD,671,47.0,90.4,90.6,134.0,62.2
GET,312,10.3,67.7,67.7,125.0,83.3
BETTER,733,132.5,145.5,145.5,158.5,57.0
BETTER,702,106.5,127.3,117.0,143.2,57.5
WITH,484,19.5,62.5,66.2,109.2,70.2
REGARDS,952,120.1,158.1,160.4,198.4,76.0
TO,202,15.5,54.5,46.5,85.5,70.0
SPORTING,2636,313.6,353.4,350.1,390.0,62.6
FACIULITIE,6349,193.0,234.0,219.8,260.8,50.8
THERE,1497,50.0,87.4,84.2,121.6,49.8
COULD,608,46.8,87.4,87.4,128.0,56.2
BE,218,23.0,62.0,62.0,101.0,78.0
MORE,561,46.8,81.8,81.8,116.8,54.5
